song,singer,tempo,energy,loudness,danceability,valence,acousticness,happy,angry,sad,relax,mood
Who We Are,Imagine Dragons,173.954,0.656,-7.088,0.407,0.39,0.00746,10,0,30,60,3
Stuck,Imagine Dragons,115.023,0.478,-8.246,0.621,0.248,0.263,6.5,39.5,44,10,2
Start Over,Imagine Dragons,98.04,0.928,-5.051,0.698,0.757,0.00551,5,37,48,10,2
Dancing In The Dark,Imagine Dragons,134.005,0.31,-10.026,0.688,0.624,0.786,43.5,20,6,30.5,0
Real Life,Imagine Dragons,195.489,0.564,-7.99,0.262,0.13,0.0147,10,0,40,50,3
Love,Imagine Dragons,82.483,0.507,-6.178,0.697,0.382,0.0535,2.5,49.5,28,20,1
Tiptoe,Imagine Dragons,120.009,0.827,-5.829,0.526,0.233,0.00139,0,30,40,30,2
Rise Up,Imagine Dragons,93.759,0.74,-6.607,0.447,0.102,0.0122,10,0,40,50,3
Yesterday,Imagine Dragons,156.031,0.645,-6.169,0.569,0.54,0.253,0,29.5,38,32.5,2
Mouth Of The River,Imagine Dragons,96.014,0.907,-7.015,0.483,0.296,0.00183,5,5,20,70,3
Friction,Imagine Dragons,103.95,0.548,-8.767,0.65,0.29,0.0407,21.66666667,29.5,26.33333333,22.5,1
I Bet My Life,Imagine Dragons,108.04,0.659,-8.18,0.545,0.599,0.367,10,39.5,28,22.5,1
Second Chances,Imagine Dragons,171.059,0.567,-9.131,0.401,0.362,0.171,16,4,23.33333333,56.66666667,3
Dream,Imagine Dragons,142.067,0.513,-7.724,0.379,0.108,0.643,41.66666667,0,35,23.33333333,0
Tokyo,Imagine Dragons,120.031,0.698,-6.437,0.664,0.728,0.00181,5,29.5,43,22.5,2
Working Man,Imagine Dragons,100.998,0.856,-6.399,0.647,0.647,0.0185,10,12,43,35,2
Amsterdam,Imagine Dragons,115.005,0.776,-4.972,0.502,0.212,0.00781,10,30,30,30,1
Polaroid,Imagine Dragons,155.319,0.603,-6.832,0.424,0.258,0.514,31,19,6.666666667,43.33333333,3
