NASA,Ariana Grande,75.029,0.458,-6.891,0.747,0.47,0.451,12.5,12.0,38.0,37.5,2
no tears left to cry,Ariana Grande,121.993,0.713,-5.507,0.699,0.354,0.04,0.0,49.5,38.0,12.5,1
One Last Time,Ariana Grande,125.026,0.593,-5.036,0.628,0.104,0.093,10.0,49.5,38.0,2.5,1
Piano,Ariana Grande,120.017,0.804,-4.286,0.738,0.717,0.163,20.0,32.0,43.0,5.0,2
Problem,Ariana Grande,103.009,0.805,-5.352,0.66,0.625,0.0192,0.0,42.00000000000001,48.0,10.0,2
Right There,Ariana Grande,156.095,0.834,-3.166,0.621,0.561,0.127,0.0,52.0,38.0,10.0,1
Santa Baby,Ariana Grande,95.991,0.776,-5.772,0.747,0.812,0.0581,10.0,22.000000000000004,53.0,15.0,2
Santa Tell Me,Ariana Grande,191.708,0.628,-7.316,0.506,0.556,0.0545,10.0,17.5,0.0,72.5,3
Side To Side,Ariana Grande,159.174,0.736,-5.84,0.65,0.612,0.0513,6.666666666666667,39.5,51.33333333333333,2.5,2
Snow In California,Ariana Grande,134.832,0.54,-5.958,0.621,0.418,0.273,0.0,39.5,57.99999999999999,2.5,2
Sometimes,Ariana Grande,77.827,0.666,-5.383,0.394,0.561,0.0901,20.0,20.0,40.0,20.0,2
sweetener,Ariana Grande,119.914,0.459,-6.408,0.721,0.46,0.248,12.5,22.000000000000004,27.999999999999996,37.5,3
Tattooed Heart,Ariana Grande,72.06,0.521,-4.128,0.536,0.314,0.41,10.0,56.16666666666668,21.333333333333332,12.5,1
The Way,Ariana Grande,82.324,0.877,-3.208,0.645,0.861,0.294,10.0,37.0,32.99999999999999,20.0,1
Thinking Bout You,Ariana Grande,102.983,0.697,-6.021,0.507,0.401,0.0149,10.0,17.5,40.0,32.5,2
Touch It,Ariana Grande,100.899,0.694,-4.369,0.536,0.293,0.0305,10.0,49.5,27.999999999999996,12.5,1
Why Try,Ariana Grande,159.856,0.663,-5.946,0.443,0.331,0.0494,0.0,0.0,60.0,40.0,2
Winter Things,Ariana Grande,74.739,0.219,-10.204,0.639,0.797,0.93,26.0,20.0,6.0,48.00000000000001,3
You¡¦ll Never Know,Ariana Grande,105.018,0.842,-3.835,0.764,0.869,0.0546,0.0,52.0,43.0,5.0,1
Operate,ASTR,126.005,0.927,-7.446,0.592,0.326,1.42e-05,5.0,27.0,18.0,50.0,3
GodLovesUgly,Atmosphere,182.126,0.878,-0.307,0.698,0.821,0.613,38.33333333333333,25.0,26.666666666666668,10.0,0
Counting,Autre Ne Veut,79.925,0.538,-5.828,0.618,0.308,0.0249,0.0,49.5,48.0,2.5,1
Addicted To You,Avicii,128.089,0.778,-4.071,0.549,0.318,0.0494,0.0,42.00000000000001,48.0,10.0,2
All You Need Is Love,Avicii,125.017,0.425,-4.821,0.767,0.464,0.0354,42.5,9.5,32.99999999999999,15.0,0
Broken Arrows,Avicii,115.973,0.666,-7.186,0.63,0.288,0.0481,5.0,39.5,32.99999999999999,22.5,1
Dear Boy,Avicii,124.988,0.607,-5.907,0.682,0.224,0.000278,0.0,29.500000000000004,48.0,22.5,2
Feeling Good,Avicii,100.101,0.59,-5.486,0.452,0.107,0.337,5.0,10.0,40.0,45.0,3
For A Better Day,Avicii,135.002,0.843,-3.393,0.639,0.317,0.0386,0.0,52.0,38.0,10.0,1
Heart Upon My Sleeve,Avicii,126.025,0.695,-7.917,0.708,0.341,0.0978,20.0,39.5,8.0,32.5,1
